Country,Subgroup,Year,Fertility
Ireland,15-19 yr,1995-2000,17.1
Ireland,15-19 yr,2000-2005,19.5
Ireland,20-24 yr,1995-2000,50.7
Ireland,20-24 yr,2000-2005,52.7
Ireland,25-29 yr,1995-2000,104
Ireland,25-29 yr,2000-2005,93.6
Ireland,30-34 yr,1995-2000,129.7
Ireland,30-34 yr,2000-2005,133.9
Ireland,35-39 yr,1995-2000,65
Ireland,35-39 yr,2000-2005,79.4
Ireland,40-44 yr,1995-2000,12.8
Ireland,40-44 yr,2000-2005,14.6
Ireland,45-49 yr,1995-2000,0.7
Ireland,45-49 yr,2000-2005,0.1
United Kingdom,15-19 yr,1995-2000,29.8
United Kingdom,15-19 yr,2000-2005,27.2
United Kingdom,20-24 yr,1995-2000,74
United Kingdom,20-24 yr,2000-2005,70.2
United Kingdom,25-29 yr,1995-2000,101.3
United Kingdom,25-29 yr,2000-2005,94.3
United Kingdom,30-34 yr,1995-2000,88.5
United Kingdom,30-34 yr,2000-2005,92.8
United Kingdom,35-39 yr,1995-2000,38.9
United Kingdom,35-39 yr,2000-2005,44.9
United Kingdom,40-44 yr,1995-2000,7.6
United Kingdom,40-44 yr,2000-2005,9.5
United Kingdom,45-49 yr,1995-2000,
United Kingdom,45-49 yr,2000-2005,0.1
Netherlands,15-19 yr,1995-2000,4.6
Netherlands,15-19 yr,2000-2005,5.4
Netherlands,20-24 yr,1995-2000,34.2
Netherlands,20-24 yr,2000-2005,36.7
Netherlands,25-29 yr,1995-2000,99
Netherlands,25-29 yr,2000-2005,101.4
Netherlands,30-34 yr,1995-2000,125.1
Netherlands,30-34 yr,2000-2005,133.7
Netherlands,35-39 yr,1995-2000,49.7
Netherlands,35-39 yr,2000-2005,59
Netherlands,40-44 yr,1995-2000,7.3
Netherlands,40-44 yr,2000-2005,9.1
Netherlands,45-49 yr,1995-2000,
Netherlands,45-49 yr,2000-2005,
Belgium,15-19 yr,1995-2000,9.5
Belgium,15-19 yr,2000-2005,8.4
Belgium,20-24 yr,1995-2000,60.7
Belgium,20-24 yr,2000-2005,57
Belgium,25-29 yr,1995-2000,132.3
